Tair,Humidity,Pressure,WindDirection,WindSpeed,GlobalRadiation
-8.9,75,101800,290,1.8,0.0
-8.4,75,101860.0,0,0,2.777778
-6.5,65,101870.0,0,0.2,63.88889400000001
-4.7,60,101890.0,110,0.5,194.44446
-2.2,57,101880.0,160,1.2,280.555578
-1.1,69,101820.0,180,0.8,247.22224200000002
0.7,67,101720.0,180,3.5,450.0000360000001
0.7,69,101680.0,200,2.3,222.22224000000003
2,62,101650.0,160,1.9,275.000022
1.7,55,101660.0,340,2.3,152.77779
1,44,101630.0,340,2.8,77.77778400000001
-0.1,32,101680.0,320,2.5,5.555556
-0.8,36,101760.0,320,1.9,0.0
-1.4,40,101770.0,320,1.8,0.0
-1.8,41,101790.0,320,2.5,0.0
-2.2,45,101810.0,320,2,0.0
-2,46,101820.0,290,3.5,0.0
-2.4,52,101830.0,320,2.3,0.0
-2.8,58,101840.0,320,2.6,0.0
-3.3,59,101820.0,340,2.1,0.0
-4.1,61,101860.0,320,3.4,0.0
-5,70,101830.0,340,2,0.0
-5.6,71,101830.0,340,3.3,0.0
-6.4,66,101880.0,340,4.2,0.0
-7.1,43,101910.0,320,3,0.0
-7.7,30,101970.0,320,3.6,2.777778
-7.6,28,102000,320,3.8,72.222228
-7,26,101970.0,320,4,266.666688
-6.4,25,101920.0,320,4.2,430.55559000000005
-6.5,27,101780.0,340,4.8,516.6667080000001
-5.9,28,101680.0,340,5.3,575.000046
-6.3,32,101620.0,320,4.5,455.555592
-7.5,37,101570.0,320,5.2,344.444472
-8.7,54,101590.0,320,5.4,202.777794
-9.6,41,101620.0,320,6.4,86.111118
-11.2,43,101740.0,320,6.5,11.111112
-12.1,57,101800,320,3.7,0.0
-12.4,60,101830.0,340,1.9,0.0
-12.9,75,101850.0,340,2.4,0.0
-13.5,76,101870.0,20,1.1,0.0
-14,65,101900,340,2.3,0.0
-14.4,68,101900,360,1.4,0.0
-14.8,72,101870.0,340,1.6,0.0
-15.2,76,101870.0,0,0,0.0
-15.4,80,101890.0,0,0,0.0
-15.4,78,101820.0,0,0.1,0.0
-15.6,79,101820.0,0,0.1,0.0
-15.6,80,101810.0,20,0.5,0.0
-15.9,81,101840.0,20,0.6,0.0
-15.9,81,101880.0,0,0.4,2.777778
-15,78,101920.0,0,0.1,44.444448
-12.5,67,101920.0,110,1.5,247.22224200000002
-10.6,61,101920.0,340,1,452.777814
-9.4,60,101840.0,320,3.2,513.8889300000001
-7.9,46,101750.0,320,2.5,536.111154
-7.2,42,101730.0,320,5.1,558.3333779999999
-6.4,38,101740.0,320,4.7,494.44448400000005
-6.2,35,101770.0,320,3.2,350.00002800000004
-7.2,41,101810.0,320,4.4,161.111124
-8.4,52,101880.0,340,2.2,11.111112
-10.1,64,101960.0,340,1.7,0.0
-10.9,67,102050.0,340,1.7,0.0
-11.2,71,102100,360,0.6,0.0
-11.3,75,102150.0,340,1.5,0.0
-11.8,76,102180.0,0,0.1,0.0
-12.4,78,102190.0,290,1.1,0.0
-12.4,78,102250.0,0,0.1,0.0
-12.7,79,102250.0,0,0,0.0
-13.2,80,102270.0,0,0.4,0.0
-13.6,81,102230.0,320,1,0.0
-14,82,102220.0,320,1.9,0.0
-14.4,83,102250.0,290,1,0.0
-14.7,83,102310.0,290,1.4,0.0
-14.5,83,102400,290,0.6,2.777778
-12.4,77,102430.0,0,0.1,161.111124
-9.2,64,102440.00000000001,110,0.6,300.00002400000005
-6.9,58,102420.0,160,0.8,494.44448400000005
-5,49,102330.0,110,1.7,625.00005
-3.5,37,102210.0,340,2.7,616.6667160000001
-3.1,34,102100,320,3,577.777824
-2.1,31,102050.0,320,2,477.77781600000003
-1.5,28,102070.0,320,2.9,341.666694
-2.5,30,102110.0,320,2.6,158.333346
-3.9,36,102130.0,320,1.6,11.111112
-5.1,44,102180.0,320,1.4,0.0
-5.8,49,102210.0,0,0.1,0.0
-6.4,56,102240.0,90,0.6,0.0
-7,64,102250.0,70,0.5,0.0
-7.5,69,102240.0,0,0,0.0
-8.3,69,102220.0,270,1.4,0.0
-8.5,71,102210.0,0,0.4,0.0
-8.9,74,102240.0,0,0,0.0
-9.2,75,102200,0,0.4,0.0
-10.2,78,102160.0,290,1,0.0
-10.4,79,102130.0,320,0.5,0.0
-10.4,79,102130.0,0,0.2,0.0
-10.8,81,102180.0,290,1,0.0
-10.8,81,102140.0,0,0,2.777778
-8.9,74,102130.0,0,0.3,88.888896
-7.6,67,102180.0,0,0.3,125.00001
-4.6,57,102130.0,180,0.5,361.11114000000003
-2,49,102060.0,160,2.5,519.4444860000001
-1.2,48,101980.0,180,1.9,466.666704
-1,48,102000,320,3.8,300.00002400000005
-1,50,101960.0,290,3.3,250.00002
-1.5,56,101980.0,320,3.3,161.111124
-1.7,43,101970.0,320,3.1,88.888896
-2.7,34,102010.0,320,2.3,11.111112
-3.3,42,101940.0,340,1.7,0.0
-4.4,43,102020.0,340,1.6,0.0
-5.4,48,102030.0,290,1.1,0.0
-5.9,51,101980.0,0,0,0.0
-6.3,56,102040.0,270,1.4,0.0
-6.2,60,102000,320,0.6,0.0
-6.2,61,101980.0,0,0.2,0.0
-5.9,62,101950.0,270,0.6,0.0
-5.6,69,101940.0,0,0.3,0.0
-5.6,72,101890.0,0,0.1,0.0
-6.1,74,101930.0,340,1.8,0.0
-6.2,78,102010.0,90,0.5,0.0
-7,82,102060.0,0,0.3,0.0
-7.9,85,102100,290,0.5,5.555556
-6.6,79,102120.0,360,0.7,100.000008
-4.9,64,102120.0,50,1.3,286.11113400000005
-3.8,42,102110.0,360,1,402.77781
-2.4,31,102000,320,1.5,488.888928
-1.7,31,101870.0,340,1.7,569.44449
-0.9,33,101810.0,320,3.5,533.333376
-0.3,32,101780.0,290,4,491.66670600000003
-0.4,32,101780.0,320,4.5,336.111138
-1.6,37,101850.0,320,4,152.77779
-2.9,46,101880.0,340,2.6,11.111112
-4.2,49,101900,340,1.4,0.0
-4.9,48,101900,340,1.3,0.0
-5.8,53,101930.0,340,1.6,0.0
-6.6,57,101930.0,290,1.1,0.0
-6.9,60,101910.0,270,0.6,0.0
-7.7,65,101890.0,290,1.3,0.0
-8,66,101830.0,290,1,0.0
-8.5,70,101770.0,0,0,0.0
-8.3,69,101790.0,320,0.9,0.0
-7.8,74,101850.0,270,1.2,0.0
-7,80,101930.0,340,2.1,0.0
-6.8,74,101880.0,340,3,0.0
-7.7,58,101820.0,340,2.2,0.0
-8.2,60,101890.0,290,1.2,2.777778
-7,51,101930.0,320,2,97.22223
-5.8,44,101980.0,340,2.4,263.88891
-5.1,41,101960.0,340,2.4,425.000034
-4.1,37,101860.0,340,2.9,527.77782
-2.7,35,101730.0,290,2.1,577.777824
-2,32,101670.0,320,2.7,547.222266
-1.7,28,101630.0,320,3.2,452.777814
-2.1,31,101650.0,290,2.7,305.55558
-2.9,34,101680.0,320,2.6,158.333346
